rank,discipline,phd,service,gender,salary
Prof,B,56,49,Male,236960
Prof,A,12,6,Male,143000
Prof,A,23,20,Male,160515
Prof,A,40,31,Male,181205
Prof,B,20,18,Male,154800
Prof,A,20,20,Male,172400
AssocProf,A,20,17,Male,131285
Prof,A,18,18,Male,176300
Prof,A,29,19,Male,144350
Prof,A,51,51,Male,107800
Prof,B,39,33,Male,178250
Prof,B,23,23,Male,184778
AsstProf,B,1,0,Male,138000
Prof,B,35,33,Male,212200
Prof,B,25,19,Male,203750
Prof,B,17,3,Male,200480
AsstProf,B,8,3,Male,125044
AsstProf,B,4,0,Male,142000
Prof,A,19,7,Male,157300
Prof,A,29,27,Male,200500
AsstProf,B,4,4,Male,142000
Prof,A,33,30,Male,153106
AsstProf,A,4,2,Male,123000
AsstProf,A,2,0,Male,135000
Prof,A,30,23,Male,141100
Prof,B,35,31,Male,149418
Prof,A,38,19,Male,198750
Prof,A,45,43,Male,205865
AsstProf,B,7,2,Male,141300
Prof,B,21,20,Male,173683
AssocProf,B,9,7,Male,157008
Prof,B,22,21,Male,205750
Prof,A,27,19,Male,153275
Prof,B,18,18,Male,170000
AssocProf,B,12,8,Male,169800
Prof,B,28,23,Male,176933
Prof,B,45,45,Male,196856
Prof,A,20,8,Male,152000
AsstProf,B,4,3,Male,141000
Prof,B,18,18,Female,179000
Prof,A,39,36,Female,187000
AssocProf,A,13,8,Female,124830
AsstProf,B,4,2,Female,130225
AsstProf,B,5,0,Female,127000
Prof,B,23,19,Female,201768
Prof,B,25,25,Female,190096
AsstProf,B,11,3,Female,124692
AssocProf,B,11,11,Female,153613
Prof,B,17,17,Female,161512
Prof,B,17,18,Female,172960
AsstProf,B,10,5,Female,147032
Prof,B,20,14,Female,177512
Prof,A,12,0,Female,155000
AsstProf,A,5,3,Female,123500
AssocProf,A,25,22,Female,112884
AsstProf,A,2,0,Female,122500
AssocProf,A,10,8,Female,127500
AsstProf,A,3,1,Female,122500
Prof,B,36,26,Female,194651
AssocProf,B,12,10,Female,153994
AsstProf,B,3,3,Female,142000
AssocProf,B,13,10,Female,153750
AssocProf,B,14,7,Female,159650
Prof,A,29,27,Female,141000
AssocProf,A,26,24,Female,123300
Prof,A,36,19,Female,167555
AsstProf,A,7,6,Female,113100
Prof,A,17,11,Female,140450
AsstProf,A,4,2,Female,127500
Prof,A,28,7,Female,166450
AsstProf,A,8,3,Female,128500
AssocProf,B,12,9,Female,121065
Prof,B,24,15,Female,211101
Prof,B,18,10,Female,155450
AssocProf,B,19,6,Female,154542
Prof,B,17,17,Female,174312
Prof,A,28,14,Female,159954
Prof,A,23,15,Female,159646
