Customer,Clv,Coverage,Education,EmploymentStatus,Gender,Income,Location ,Marital ,Policiesnum,Policytype,Saleschannel
BU79786,2763.519279,Basic,Bachelor,Employed,F,56274,Suburban,Married,1,Corporate Auto,Agent
QZ44356,6979.535903,Extended,Bachelor,Unemployed,F,0,Suburban,Single,8,Personal Auto,Agent
AI49188,12887.43165,Premium,Bachelor,Employed,F,48767,Suburban,Married,2,Personal Auto,Agent
WW63253,7645.861827,Basic,Bachelor,Unemployed,M,0,Suburban,Married,7,Corporate Auto,Call Center
HB64268,2813.692575,Basic,Bachelor,Employed,M,43836,Rural,Single,1,Personal Auto,Agent
OC83172,8256.2978,Basic,Bachelor,Employed,F,62902,Rural,Married,2,Personal Auto,Web
XZ87318,5380.898636,Basic,College,Employed,F,55350,Suburban,Married,9,Corporate Auto,Agent
CF85061,7216.100311,Premium,Master,Unemployed,M,0,Urban,Single,4,Corporate Auto,Agent
DY87989,24127.50402,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,2,Corporate Auto,Agent
BQ94931,7388.178085,Extended,College,Employed,F,28812,Urban,Married,8,Special Auto,Branch
SX51350,4738.992022,Basic,College,Unemployed,M,0,Suburban,Single,3,Personal Auto,Agent
VQ65197,8197.197078,Basic,College,Unemployed,F,0,Suburban,Married,3,Personal Auto,Agent
DP39365,8798.797003,Premium,Master,Employed,M,77026,Urban,Married,3,Corporate Auto,Agent
SJ95423,8819.018934,Basic,High School or Below,Employed,M,99845,Suburban,Married,8,Corporate Auto,Branch
IL66569,5384.431665,Basic,College,Employed,M,83689,Urban,Single,8,Corporate Auto,Call Center
BW63560,7463.139377,Basic,Bachelor,Employed,F,24599,Rural,Married,2,Corporate Auto,Branch
FV94802,2566.867823,Basic,High School or Below,Medical Leave,M,25049,Suburban,Married,1,Personal Auto,Call Center
OE15005,3945.241604,Basic,College,Medical Leave,M,28855,Suburban,Married,1,Personal Auto,Call Center
WC83389,5710.333115,Basic,College,Employed,M,51148,Urban,Married,7,Personal Auto,Branch
FL50705,8162.617053,Premium,High School or Below,Employed,F,66140,Suburban,Married,3,Corporate Auto,Call Center
ZK25313,2872.051273,Basic,High School or Below,Employed,M,57749,Suburban,Single,1,Personal Auto,Branch
SV62436,3041.791561,Extended,Bachelor,Disabled,F,13789,Suburban,Divorced,1,Personal Auto,Call Center
YH23384,24127.50402,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,2,Personal Auto,Agent
TZ98966,2450.190996,Basic,Bachelor,Unemployed,F,0,Suburban,Single,1,Corporate Auto,Branch
HM55802,2392.10789,Basic,Bachelor,Disabled,F,17870,Suburban,Married,1,Corporate Auto,Branch
FS42516,5802.065978,Basic,College,Employed,M,97541,Suburban,Married,3,Personal Auto,Call Center
US89481,3946.372085,Premium,Bachelor,Unemployed,F,0,Suburban,Single,1,Personal Auto,Agent
HO30839,5346.916576,Extended,Master,Disabled,F,10511,Urban,Married,1,Corporate Auto,Branch
GE62437,12902.56014,Premium,College,Employed,F,86584,Suburban,Single,2,Personal Auto,Call Center
EJ77678,3235.360468,Extended,Master,Employed,F,75690,Suburban,Married,1,Personal Auto,Branch
SV85652,2454.58354,Basic,College,Employed,M,23158,Suburban,Married,1,Personal Auto,Call Center
UL64533,18975.45611,Extended,High School or Below,Employed,M,65999,Urban,Married,6,Corporate Auto,Agent
PF41800,4715.321344,Basic,Bachelor,Unemployed,M,0,Urban,Married,3,Personal Auto,Call Center
AO98601,5018.885233,Basic,Bachelor,Employed,M,54500,Suburban,Married,6,Corporate Auto,Agent
SK67821,4932.916345,Basic,Bachelor,Employed,F,37260,Rural,Married,8,Corporate Auto,Web
YV55495,5744.229745,Basic,High School or Below,Employed,F,68987,Urban,Married,6,Personal Auto,Branch
KY38074,13891.73567,Premium,Bachelor,Employed,M,42305,Suburban,Married,2,Personal Auto,Agent
DM79012,7380.976717,Extended,Master,Employed,F,65706,Suburban,Married,8,Personal Auto,Web
CM61827,3090.034104,Extended,Bachelor,Unemployed,M,0,Suburban,Single,1,Personal Auto,Agent
WC35801,2521.633095,Basic,High School or Below,Employed,M,53243,Rural,Divorced,1,Personal Auto,Call Center
QG25316,2652.061785,Basic,High School or Below,Unemployed,F,0,Suburban,Married,1,Corporate Auto,Call Center
MB98372,2771.045031,Basic,College,Employed,F,50071,Rural,Single,1,Corporate Auto,Agent
IL19217,3939.00637,Extended,Bachelor,Employed,F,60021,Suburban,Married,1,Personal Auto,Agent
SR38658,12231.87968,Basic,High School or Below,Employed,M,43244,Suburban,Married,2,Personal Auto,Agent
DH41343,2443.665166,Basic,College,Employed,M,92834,Suburban,Married,1,Special Auto,Call Center
HG65722,12819.10289,Premium,Doctor,Disabled,F,10105,Rural,Married,3,Personal Auto,Branch
BU27331,4468.510542,Basic,Bachelor,Unemployed,M,0,Suburban,Single,5,Personal Auto,Call Center
XM45289,5514.344018,Basic,High School or Below,Employed,F,23218,Suburban,Single,4,Personal Auto,Agent
KP34198,3343.875326,Extended,Bachelor,Unemployed,F,0,Suburban,Married,1,Corporate Auto,Call Center
SH90947,2294.478927,Basic,High School or Below,Unemployed,F,0,Suburban,Married,1,Personal Auto,Branch
WE95729,36707.42639,Basic,College,Employed,M,24804,Suburban,Married,2,Personal Auto,Agent
PY51963,33473.34946,Basic,Bachelor,Employed,F,33190,Suburban,Divorced,2,Corporate Auto,Web
RB69909,7983.431709,Basic,High School or Below,Employed,F,36014,Rural,Married,2,Special Auto,Branch
XR95069,4854.745666,Basic,Bachelor,Employed,M,29834,Suburban,Single,3,Personal Auto,Agent
FR46645,4293.997319,Premium,Bachelor,Disabled,M,16701,Suburban,Married,1,Personal Auto,Branch
SY17488,7164.395543,Extended,College,Employed,F,46623,Suburban,Divorced,3,Corporate Auto,Call Center
AP67935,7619.5158,Basic,College,Employed,M,64749,Urban,Married,2,Special Auto,Branch
FS37417,3958.002823,Basic,High School or Below,Unemployed,F,0,Suburban,Married,1,Personal Auto,Call Center
ML29312,4499.493252,Extended,High School or Below,Disabled,F,16969,Suburban,Divorced,1,Personal Auto,Call Center
UB61619,4059.567414,Premium,Master,Disabled,F,11621,Suburban,Divorced,1,Personal Auto,Agent
CD86811,4458.113369,Basic,Bachelor,Retired,M,17622,Suburban,Divorced,3,Personal Auto,Agent
RU83859,8110.333139,Premium,Bachelor,Medical Leave,F,11489,Suburban,Married,6,Personal Auto,Call Center
FG63582,3339.764873,Extended,Bachelor,Unemployed,M,0,Suburban,Single,1,Personal Auto,Agent
NN71951,24261.01777,Basic,High School or Below,Employed,F,66525,Rural,Married,2,Personal Auto,Agent
WB37082,6613.973653,Basic,Bachelor,Unemployed,F,0,Suburban,Single,2,Personal Auto,Branch
SM52139,2930.693543,Basic,College,Employed,M,33663,Suburban,Married,1,Personal Auto,Web
FL82372,8672.194272,Basic,College,Employed,F,22547,Suburban,Divorced,3,Corporate Auto,Agent
DP45816,11638.66926,Extended,High School or Below,Employed,F,61486,Urban,Married,2,Personal Auto,Branch
GW33762,6846.150323,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,5,Personal Auto,Call Center
RZ33670,11727.77648,Premium,College,Disabled,F,29879,Suburban,Married,2,Personal Auto,Web
PY70169,22643.83478,Basic,High School or Below,Employed,M,93011,Rural,Divorced,2,Personal Auto,Agent
MO91628,2614.474305,Basic,Master,Employed,M,65186,Rural,Married,1,Personal Auto,Web
HW87852,2451.752695,Basic,Master,Medical Leave,M,26840,Suburban,Married,1,Personal Auto,Agent
HB20453,6781.270203,Basic,Bachelor,Unemployed,M,0,Suburban,Single,5,Personal Auto,Agent
BN87372,4974.801539,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,9,Personal Auto,Branch
YX23800,8591.604933,Basic,Bachelor,Employed,M,38984,Suburban,Married,2,Personal Auto,Branch
DZ87709,5592.161392,Basic,High School or Below,Employed,F,71811,Rural,Single,6,Personal Auto,Call Center
XW13033,8009.472833,Basic,College,Employed,M,20961,Suburban,Married,2,Personal Auto,Agent
LN31673,11318.08982,Extended,College,Employed,M,38923,Rural,Married,2,Personal Auto,Agent
OM82309,58166.55351,Basic,Bachelor,Employed,M,61321,Rural,Single,2,Personal Auto,Branch
ZU35962,8025.229358,Extended,College,Unemployed,F,0,Rural,Single,2,Personal Auto,Branch
VH85817,5780.182197,Basic,High School or Below,Employed,M,51066,Suburban,Single,8,Personal Auto,Call Center
DT85712,4118.539113,Basic,Doctor,Employed,M,34378,Suburban,Married,1,Personal Auto,Branch
YJ88573,2523.07015,Basic,Master,Employed,M,43072,Suburban,Married,1,Personal Auto,Call Center
SQ19467,6554.216396,Extended,College,Disabled,F,25222,Suburban,Single,3,Personal Auto,Agent
HF88410,7703.397294,Basic,High School or Below,Employed,M,36765,Suburban,Married,2,Personal Auto,Call Center
ET79815,5926.729379,Extended,College,Retired,M,23091,Suburban,Married,5,Personal Auto,Agent
QC35222,2683.470677,Basic,Bachelor,Employed,F,48269,Urban,Married,1,Corporate Auto,Web
CJ15590,2695.182419,Basic,Bachelor,Employed,F,32720,Suburban,Divorced,1,Personal Auto,Branch
OI48267,6047.02516,Extended,College,Employed,M,20396,Suburban,Married,4,Personal Auto,Branch
JY67916,13171.01282,Premium,College,Medical Leave,M,21513,Suburban,Married,2,Personal Auto,Branch
OE75231,10656.88195,Extended,Bachelor,Employed,F,72540,Suburban,Married,2,Corporate Auto,Call Center
CZ33664,2527.653796,Basic,Bachelor,Employed,F,80744,Rural,Married,1,Corporate Auto,Agent
WK30175,2672.095756,Basic,Bachelor,Employed,M,52822,Suburban,Married,1,Corporate Auto,Branch
ON44465,5313.294035,Extended,High School or Below,Unemployed,F,0,Suburban,Single,9,Personal Auto,Agent
TV87155,20946.19251,Basic,Bachelor,Employed,F,69738,Suburban,Married,2,Personal Auto,Branch
KH48895,8375.353929,Basic,Master,Medical Leave,F,17780,Rural,Married,9,Personal Auto,Branch
NZ30757,4801.661503,Basic,Bachelor,Medical Leave,M,18107,Suburban,Married,8,Personal Auto,Agent
RI22468,5745.94334,Basic,Bachelor,Employed,F,57740,Urban,Married,9,Personal Auto,Web
FZ30935,6066.115969,Extended,College,Employed,M,32627,Suburban,Married,7,Personal Auto,Agent
UG93476,8002.308333,Basic,College,Unemployed,F,0,Suburban,Married,3,Personal Auto,Agent
AB96670,2393.915369,Basic,College,Unemployed,M,0,Suburban,Single,1,Personal Auto,Branch
XK64261,4762.8179,Basic,Bachelor,Employed,M,65795,Rural,Single,3,Corporate Auto,Call Center
EV68375,4330.38602,Premium,College,Employed,M,60475,Suburban,Married,1,Personal Auto,Branch
UN51653,9402.729769,Extended,High School or Below,Unemployed,F,0,Suburban,Single,4,Personal Auto,Web
TO96662,6966.694527,Extended,Bachelor,Employed,F,41837,Rural,Married,9,Personal Auto,Call Center
MR52087,7694.064293,Basic,Bachelor,Employed,F,32303,Rural,Married,2,Personal Auto,Branch
DE75225,8717.561149,Basic,High School or Below,Unemployed,M,0,Suburban,Married,3,Personal Auto,Agent
EP80820,5928.748528,Basic,Bachelor,Employed,F,40531,Rural,Married,9,Personal Auto,Agent
GU99037,2452.977288,Basic,College,Employed,M,79898,Urban,Married,1,Corporate Auto,Agent
WI57118,6701.571657,Extended,College,Employed,M,56398,Suburban,Married,7,Personal Auto,Agent
YQ74870,7556.24034,Extended,High School or Below,Employed,M,35257,Suburban,Divorced,8,Corporate Auto,Web
MQ14219,8492.6988,Basic,College,Employed,M,27804,Suburban,Married,7,Personal Auto,Branch
KN20603,7713.494046,Basic,Bachelor,Employed,M,45506,Suburban,Single,2,Personal Auto,Agent
CR48975,24084.5352,Basic,High School or Below,Employed,M,65196,Suburban,Married,2,Personal Auto,Branch
JI70886,7290.069769,Basic,High School or Below,Unemployed,M,0,Suburban,Married,3,Corporate Auto,Agent
VF72557,4772.943848,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,1,Personal Auto,Agent
OX28638,6806.491395,Extended,High School or Below,Employed,M,37839,Suburban,Married,9,Personal Auto,Branch
SK55033,2469.781334,Basic,Bachelor,Employed,F,92711,Suburban,Single,1,Personal Auto,Agent
OO88645,3103.923041,Extended,College,Employed,F,74665,Urban,Married,1,Corporate Auto,Call Center
YT36855,2981.875575,Extended,College,Unemployed,M,0,Suburban,Married,1,Personal Auto,Web
CW82151,8902.737595,Basic,Bachelor,Employed,M,46833,Rural,Married,9,Personal Auto,Call Center
DY22043,5499.447223,Basic,High School or Below,Employed,F,88768,Suburban,Married,7,Personal Auto,Branch
SH36774,15023.59858,Basic,High School or Below,Employed,M,28262,Suburban,Single,3,Personal Auto,Web
EM43724,2509.107875,Basic,Bachelor,Employed,F,33555,Rural,Married,1,Personal Auto,Agent
FH85960,31221.7481,Premium,College,Employed,M,42780,Suburban,Divorced,2,Personal Auto,Call Center
