zpid,price,sqft,lotsize,bed,bath,garage,pool,area
43916681,1650000,4118,15750,7,6.5,2,Yes,Coral Gables
43916273,2075000,3051,7500,4,4,1,No,Coral Gables
43917238,1600000,2651,5950,4,3,0,No,Coral Gables
43917999,2395000,3240,6000,4,5.5,1,No,Coral Gables
43919257,1485000,2516,10000,4,3,2,Yes,Coral Gables
43914781,699000,1892,7500,4,3,0,No,Coral Gables
44187160,580000,1662,7500,4,3,0,No,Coral Gables
43917870,2000000,2591,10592,3,3.5,1,Yes,Coral Gables
44226439,1345000,2396,15000,3,2,2,Yes,Coral Gables
43919790,950000,1211,10500,3,2,0,No,Coral Gables
43912819,799000,1854,10550,3,3.5,2,No,Coral Gables
43913559,850000,1470,5500,3,2,1,No,Coral Gables
44026116,1450000,3653,19602,4,3,2,Yes,Pinecrest
44293026,835000,2070,16500,3,2,2,Yes,Pinecrest
156034534,2395000,4389,39639,6,5,2,Yes,Pinecrest
44027398,770000,1591,8250,4,3.5,2,No,Pinecrest
44027614,1050000,1593,11220,3,2,2,Yes,Pinecrest
44027304,955000,1530,14400,4,2,0,No,Pinecrest
44026200,1849000,5382,40467,5,5,0,Yes,Pinecrest
44026965,1650000,2827,16403,4,3,2,Yes,Pinecrest
44026375,1399000,3340,12880,5,4.5,1,Yes,Pinecrest
44026222,1295000,3162,18339,4,4.5,2,Yes,Pinecrest
44026512,1490000,2058,15000,4,3.5,2,Yes,Pinecrest
44026177,1200000,1972,42253,3,2,2,Yes,Pinecrest
44293548,689000,2573,15525,4,3,2,No,Palmetto Bay
44294738,725000,3392,22200,4,3,2,Yes,Palmetto Bay
44293391,900000,3181,18625,4,3,2,No,Palmetto Bay
44295248,470000,1142,8470,3,2,0,No,Palmetto Bay
44292531,865000,2730,13875,5,3,1,Yes,Palmetto Bay
44291380,825000,2215,15300,4,4,0,Yes,Palmetto Bay
44292898,1475000,3537,15154,5,4,2,Yes,Palmetto Bay
44293416,1495000,4015,21655,5,3,0,Yes,Palmetto Bay
60800681,685000,2811,15128,4,3,0,Yes,Palmetto Bay
44304019,1250000,3996,14810,5,3.5,2,Yes,Palmetto Bay
44302653,659900,1785,15800,3,2,0,No,Palmetto Bay
44293026,735000,2070,14375,3,2,2,Yes,Palmetto Bay
44292967,1499000,2841,59242,4,4.5,2,Yes,Palmetto Bay
72579504,1135000,3615,15000,5,4,2,Yes,Palmetto Bay
